Date,SP_Composite,Dividend,Earnings,CPI,Date_Fraction,Long_Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Year
1969.1,95.52,3.15333,5.85333,37.3,1969.791666666577,7.1,783.9490294906165,25.879920363941014,114454.44530299857,48.03928363471849,1969.0
1969.11,96.21,3.15667,5.81667,37.5,1969.8749999999102,7.14,785.4007139999998,25.769159877999993,114979.90631907698,47.483803877999996,1969.0
1969.12,91.11,3.16,5.78,37.7,1969.9583333332434,7.65,739.8216584880635,25.65949336870026,108620.33096873281,46.93413660477453,1969.0
1970.01,90.31,3.16333,5.73,37.8,1970.0416666665767,7.79,731.3855694444444,25.618579486111113,107695.19012217053,46.40504166666666,1970.0
1970.02,87.16,3.16667,5.68,38,1970.12499999991,7.24,702.1598131578946,25.51065185328947,103704.7839307581,45.758005263157884,1970.0
1970.03,88.65,3.17,5.63,38.2,1970.2083333332432,7.07,710.4241590314134,25.403774214659677,105238.04353818309,45.11774410994763,1970.0
1970.04,85.95,3.17333,5.59333,38.5,1970.2916666665765,7.39,683.4197045454545,25.232300768181815,101549.243319747,44.47460076818181,1970.0
1970.05,76.06,3.17667,5.55667,38.6,1970.3749999999097,7.91,603.2139287564765,25.193420865932637,89943.4349811433,44.06863977784973,1970.0
1970.06,75.59,3.18,5.52,38.8,1970.458333333243,7.84,596.3963331185566,25.08983118556701,89238.6394135031,43.55215979381442,1970.0
1970.07,75.72,3.18333,5.46667,39,1970.5416666665762,7.46,594.3583153846153,24.987303963461535,89245.2616669651,42.910205651923064,1970.0
1970.08,77.92,3.18667,5.41333,39,1970.6249999999095,7.53,611.6270461538461,25.013521036538457,92151.22013897178,42.491517425,1970.0
1970.09,82.58,3.19,5.36,39.2,1970.7083333332428,7.39,644.8981874999998,24.911906249999994,97476.8209344638,41.85824999999999,1970.0
1970.1,84.37,3.17333,5.28333,39.4,1970.791666666576,7.33,655.5324156091369,24.655928415609132,99394.75552694143,41.05006610596446,1970.0
1970.11,84.28,3.15667,5.20667,39.6,1970.8749999999093,6.84,651.5259015151514,24.402613520833327,99095.60606137116,40.25012299053029,1970.0
1970.12,90.05,3.14,5.13,39.8,1970.9583333332425,6.39,692.6326978643216,24.151767587939695,105653.97525499361,39.45814258793969,1970.0
1971.01,93.49,3.13,5.16,39.8,1971.0416666665758,6.24,719.0919591708541,24.07485113065326,109996.09356063331,39.688891959798994,1971.0
1971.02,97.11,3.12,5.19,39.9,1971.124999999909,6.11,745.0636973684209,23.93778947368421,114274.0049594397,39.819592105263155,1971.0
1971.03,99.6,3.11,5.22,40,1971.2083333332423,5.7,762.2574749999998,23.801413124999993,117215.3088213871,39.94963874999999,1971.0
1971.04,103,3.10667,5.25333,40.1,1971.2916666665756,5.83,786.3125311720696,23.716636419576055,121218.26540300068,40.1044583435162,1971.0
1971.05,101.6,3.10333,5.28667,40.3,1971.3749999999088,6.39,771.7755334987592,23.573564629652605,119280.07836257102,40.15868661104218,1971.0
1971.06,99.72,3.1,5.32,40.6,1971.458333333242,6.52,751.8973965517239,23.374267241379304,116508.90297426825,40.11325862068965,1971.0
1971.07,99,3.09667,5.35667,40.7,1971.5416666665753,6.73,744.6344594594592,23.29178981388206,115684.24911075669,40.2905158581081,1971.0
1971.08,97.24,3.09333,5.39333,40.8,1971.6249999999086,6.58,729.6038749999999,23.209641656249996,113649.62300164482,40.46682915624999,1971.0
1971.09,99.4,3.09,5.43,40.8,1971.7083333332419,6.14,745.810625,23.184656249999996,116475.0853999015,40.74196875,1971.0
1971.1,97.29,3.08333,5.52,40.9,1971.791666666575,5.93,728.1942414425428,23.078046566625915,114024.23760517295,41.31598533007334,1971.0
1971.11,92.78,3.07667,5.61,40.9,1971.8749999999084,5.81,694.4378838630805,23.028197932151585,109038.99007366983,41.98961552567237,1971.0
1971.12,99.17,3.07,5.7,41.1,1971.9583333332416,5.93,738.6536295620436,22.866458029197073,116280.84471716761,42.45563868613138,1971.0
1972.01,103.3,3.07,5.73667,41.1,1972.0416666665749,5.95,769.4153467153283,22.866458029197073,121423.4120741174,42.72876996167882,1972.0
1972.02,105.2,3.07,5.77333,41.3,1972.1249999999081,6.08,779.7727118644067,22.75572457627118,123357.19608259384,42.793585461864396,1972.0
1972.03,107.7,3.07,5.81,41.4,1972.2083333332414,6.07,796.3751630434782,22.70075905797101,126282.90801082378,42.961371376811584,1972.0
1972.04,108.8,3.07,5.86333,41.5,1972.2916666665747,6.19,802.570409638554,22.646058433734932,127564.55429103831,43.251242278915655,1972.0
1972.05,107.7,3.07,5.91667,41.6,1972.374999999908,6.13,792.5464362980769,22.591620793269225,126270.52927363144,43.53979315925479,1972.0
1972.06,108,3.07,5.97,41.7,1972.4583333332412,6.11,792.8482014388488,22.53744424460431,126617.83421696161,43.82688669064747,1972.0
1972.07,107.2,3.07333,6.02667,41.9,1972.5416666665744,6.11,783.2188066825775,22.45419640990453,125378.84803541028,44.031728411097845,1972.0
1972.08,111,3.07667,6.08333,42,1972.6249999999077,6.21,809.0512499999999,22.425078462499997,129813.29789476744,44.339871537499995,1972.0
1972.09,109.4,3.08,6.14,42.1,1972.708333333241,6.55,795.4952137767219,22.39602612826603,127937.67060798677,44.646623515439416,1972.0
1972.1,109.6,3.10333,6.23333,42.3,1972.7916666665742,6.48,793.1814184397163,22.45897528546099,127866.5503345039,45.11096287411347,1972.0
1972.11,115.1,3.12667,6.32667,42.4,1972.8749999999075,6.28,831.0206426886791,22.574520528891505,134269.77006805467,45.67848279304244,1972.0
1972.12,117.5,3.15,6.42,42.5,1972.9583333332407,6.36,846.3524999999997,22.689449999999997,137052.46936574962,46.243259999999985,1972.0
1973.01,118.4,3.15667,6.54667,42.6,1973.041666666574,6.46,850.8332394366195,22.684119610915488,138084.1584334985,47.04496996302816,1973.0
1973.02,114.2,3.16333,6.67333,42.9,1973.1249999999072,6.64,814.9128321678321,22.573014092657342,132559.81944526112,47.61980954720279,1973.0
1973.03,112.4,3.17,6.8,43.3,1973.2083333332405,6.71,794.6589145496534,22.411643764434174,129568.96944829369,48.07545034642031,1973.0
1973.04,110.3,3.18667,6.94333,43.6,1973.2916666665737,6.67,774.4464048165136,22.37447982626146,126577.3368268757,48.75101501318805,1973.0
1973.05,107.2,3.20333,7.08667,43.9,1973.374999999907,6.85,747.5368564920273,22.337754090546692,122483.42171049546,49.417416182801816,1973.0
1973.06,104.8,3.22,7.23,44.2,1973.4583333332403,6.9,725.8407692307691,22.30159615384615,119233.0405859046,50.07470192307691,1973.0
1973.07,105.8,3.23667,7.38333,44.3,1973.5416666665735,7.13,731.1126297968395,22.36644910665914,120405.21908392504,51.02122696557561,1973.0
1973.08,103.8,3.25333,7.53667,45.1,1973.6249999999068,7.4,704.5683924611972,22.08278890410199,116336.77462782477,51.157027614745,1973.0
1973.09,105.6,3.27,7.69,45.2,1973.70833333324,7.09,715.2005309734511,22.1468346238938,118397.06618571185,52.0823113938053,1973.0
1973.1,109.8,3.30667,7.84667,45.6,1973.7916666665733,6.79,737.1227960526314,22.198741675986838,122332.4016684431,52.677225228618404,1973.0
1973.11,102,3.34333,8.00333,45.9,1973.8749999999065,6.73,680.2833333333332,22.29815369444444,113207.74501399833,53.37776480555554,1973.0
1973.12,94.78,3.38,8.16,46.2,1973.9583333332398,6.74,628.0252045454544,22.396340909090902,104821.91805784777,54.06927272727271,1973.0
1974.01,96.11,3.4,8.22667,46.6,1974.041666666573,6.99,631.3715456008582,22.33548283261802,105691.10912941232,54.043131339592264,1974.0
1974.02,93.45,3.42,8.29333,47.2,1974.1249999999063,6.96,606.093535487288,22.181272245762706,101769.0170787354,53.78848261811439,1974.0
1974.03,97.44,3.44,8.36,47.8,1974.2083333332396,7.21,624.0389874476987,22.0309330543933,105090.50090265083,53.54029079497907,1974.0
1974.04,92.46,3.46,8.48667,48,1974.2916666665728,7.51,589.6780968749998,22.066690624999996,99613.67444430589,54.12506396718749,1974.0
1974.05,89.67,3.48,8.61333,48.6,1974.374999999906,7.58,564.8241342592592,21.920240740740734,95723.70197332991,54.25467447685184,1974.0
1974.06,89.79,3.5,8.74,49,1974.4583333332394,7.54,560.963025,21.866249999999994,95378.15523233199,54.603149999999985,1974.0
1974.07,79.31,3.53,8.86333,49.4,1974.5416666665726,7.81,491.47716649797565,21.87510273279352,83873.71471540077,54.925284505566786,1974.0
1974.08,76.03,3.56,8.98667,50,1974.6249999999059,8.04,465.4974764999999,21.796277999999997,79750.08766101827,55.02133640849999,1974.0
1974.09,68.12,3.59,9.11,50.6,1974.7083333332391,8.04,412.12263438735175,21.719322628458492,70915.87182093825,55.115049901185756,1974.0
1974.1,69.44,3.59333,9.03667,51.1,1974.7916666665724,7.9,415.99791780821903,21.52675400342465,71891.39410346789,54.136461749999995,1974.0
1974.11,71.74,3.59667,8.96333,51.5,1974.8749999999056,7.68,426.4385796116503,21.37940961990291,74003.60827174547,53.280035040291246,1974.0
